Participant ID,Video Name,Timestamp,X,Y,Width,Height
Participant01,Video01,20240718_160154852606,1199,694,96,96
Participant01,Video01,20240718_160156879993,1166,674,92,92
Participant01,Video01,20240718_160156879993,929,698,76,76
Participant01,Video01,20240718_160159414308,1200,692,82,82
Participant01,Video01,20240718_160159414308,964,707,74,74
Participant01,Video01,20240718_160204851568,1234,686,65,65
Participant01,Video01,20240718_160204851568,1003,679,62,62
Participant01,Video01,20240718_160204851568,1027,655,100,100
Participant01,Video01,20240718_160209595146,1078,657,83,83
Participant01,Video01,20240718_160209595146,918,707,44,44
Participant01,Video01,20240718_160209595146,895,703,50,50
Participant01,Video01,20240718_160209595146,863,702,54,54
Participant01,Video01,20240718_160212056236,870,731,51,51
Participant01,Video01,20240718_160212056236,900,716,69,69
Participant01,Video01,20240718_160212056236,1109,674,101,101
