Participant ID,Video Name,Timestamp,X,Y,Width,Height
Participant01,Video01,20240718_154353524764,1137,735,64,64
Participant01,Video01,20240718_154353524816,885,739,63,63
Participant01,Video01,20240718_154354598401,1144,702,83,83
Participant01,Video01,20240718_154354598477,876,706,88,88
Participant01,Video01,20240718_154355718042,1192,721,50,50
Participant01,Video01,20240718_154355718092,1142,711,75,75
Participant01,Video01,20240718_154357253960,1124,742,45,45
Participant01,Video01,20240718_154358323877,1138,676,78,78
Participant01,Video01,20240718_154358323928,897,674,88,88
Participant01,Video01,20240718_154359427726,1129,673,87,87
Participant01,Video01,20240718_154359427781,900,682,83,83
Participant01,Video01,20240718_154400605813,1125,668,83,83
Participant01,Video01,20240718_154400605869,895,668,86,86
Participant01,Video01,20240718_154401755856,1110,660,91,91
Participant01,Video01,20240718_154401755926,884,677,77,77
Participant01,Video01,20240718_154402783370,1094,634,81,81
Participant01,Video01,20240718_154402783417,928,666,42,42
Participant01,Video01,20240718_154402783427,879,647,73,73
Participant01,Video01,20240718_154403800030,1097,637,78,78
Participant01,Video01,20240718_154403800077,1074,648,62,62
Participant01,Video01,20240718_154403800088,881,645,74,74
Participant01,Video01,20240718_154409022904,1079,704,81,81
Participant01,Video01,20240718_154409022963,846,716,75,75
Participant01,Video01,20240718_154410036310,1117,743,61,61
Participant01,Video01,20240718_154410036366,899,760,46,46
Participant01,Video01,20240718_154411229949,1095,727,68,68
Participant01,Video01,20240718_154411230035,1145,736,48,48
