Participant ID,Video Name,Timestamp,X,Y,Width,Height
Participant01,Video01,20240719_085224053692,1042,713,82,82
Participant01,Video01,20240719_085224053692,817,735,62,62
Participant01,Video01,20240719_085225550121,839,556,101,101
Participant01,Video01,20240719_085225550121,1060,574,79,79
Participant01,Video01,20240719_085225550121,1042,588,61,61
Participant01,Video01,20240719_085226815047,846,581,97,97
Participant01,Video01,20240719_085226815047,1066,597,78,78
Participant01,Video01,20240719_085227927727,841,588,101,101
Participant01,Video01,20240719_085227927727,1058,594,95,95
Participant01,Video01,20240719_085229053706,835,618,87,87
Participant01,Video01,20240719_085229053706,1057,613,90,90
Participant01,Video01,20240719_085230185915,816,642,94,94
Participant01,Video01,20240719_085230185915,1034,629,105,105
Participant01,Video01,20240719_085232320208,976,553,38,38
Participant01,Video01,20240719_085232320208,941,623,66,66
Participant01,Video01,20240719_085232320208,1088,621,67,67
Participant01,Video01,20240719_085239988426,1064,655,91,91
Participant01,Video01,20240719_085239988426,882,691,59,59
Participant01,Video01,20240719_085239988426,828,667,82,82
