Participant ID,Video Name,Timestamp,X,Y,Width,Height
Participant01,Video01,20240718_152416902441,1051,572,73,73
Participant01,Video01,20240718_152416902500,1087,577,63,63
Participant01,Video01,20240718_152416902512,853,588,64,64
Participant01,Video01,20240718_152417205088,1038,609,47,47
Participant01,Video01,20240718_152417205129,848,604,64,64
Participant01,Video01,20240718_152417205140,1059,603,64,64
Participant01,Video01,20240718_152417429726,1050,582,70,70
Participant01,Video01,20240718_152417429756,848,583,71,71
Participant01,Video01,20240718_152417429765,901,604,46,46
Participant01,Video01,20240718_152417664725,1056,571,72,72
Participant01,Video01,20240718_152417664762,853,571,73,73
Participant01,Video01,20240718_152417862777,1060,569,71,71
Participant01,Video01,20240718_152417862813,852,561,82,82
Participant01,Video01,20240718_152418061340,1069,572,66,66
Participant01,Video01,20240718_152418061376,858,564,75,75
Participant01,Video01,20240718_152418266231,858,564,75,75
Participant01,Video01,20240718_152418266265,1067,571,67,67
Participant01,Video01,20240718_152418471115,1066,576,64,64
Participant01,Video01,20240718_152418471152,866,571,69,69
Participant01,Video01,20240718_152418655457,771,462,53,53
Participant01,Video01,20240718_152418663950,861,568,72,72
Participant01,Video01,20240718_152418663979,1061,569,71,71
Participant01,Video01,20240718_152418846696,1061,575,66,66
Participant01,Video01,20240718_152418846743,860,566,75,75
Participant01,Video01,20240718_152419032542,865,569,73,73
Participant01,Video01,20240718_152419032572,1063,575,66,66
Participant01,Video01,20240718_152419210368,1070,584,49,49
Participant01,Video01,20240718_152419210398,870,582,53,53
Participant01,Video01,20240718_152419210406,912,588,47,47
Participant01,Video01,20240718_152419378023,1077,583,48,48
Participant01,Video01,20240718_152419378052,892,588,45,45
Participant01,Video01,20240718_152419378061,859,578,55,55
Participant01,Video01,20240718_152419593042,844,594,46,46
Participant01,Video01,20240718_152419593120,1069,580,63,63
Participant01,Video01,20240718_152419593146,864,576,71,71
Participant01,Video01,20240718_152419810013,1062,578,68,68
Participant01,Video01,20240718_152419810056,857,578,73,73
Participant01,Video01,20240718_152419978017,847,576,64,64
Participant01,Video01,20240718_152419978054,1040,557,81,81
Participant01,Video01,20240718_152419978064,1018,578,62,62
Participant01,Video01,20240718_152420160142,1035,563,74,74
Participant01,Video01,20240718_152420160179,848,579,62,62
Participant01,Video01,20240718_152420365000,1033,563,73,73
Participant01,Video01,20240718_152420365029,849,580,59,59
Participant01,Video01,20240718_152420544657,1039,580,47,47
Participant01,Video01,20240718_152420756295,1036,561,75,75
Participant01,Video01,20240718_152420756326,852,579,59,59
Participant01,Video01,20240718_152420949196,1034,580,46,46
Participant01,Video01,20240718_152420949239,1056,568,56,56
Participant01,Video01,20240718_152421143826,1035,575,51,51
Participant01,Video01,20240718_152421315014,1035,574,53,53
Participant01,Video01,20240718_152421512617,1037,581,38,38
Participant01,Video01,20240718_152421698299,1032,560,74,74
Participant01,Video01,20240718_152421698337,844,576,61,61
Participant01,Video01,20240718_152421894443,1029,560,76,76
Participant01,Video01,20240718_152421894477,846,575,63,63
Participant01,Video01,20240718_152422095199,844,576,62,62
Participant01,Video01,20240718_152422095231,1031,561,75,75
Participant01,Video01,20240718_152422295491,1034,561,73,73
Participant01,Video01,20240718_152422295522,843,576,62,62
Participant01,Video01,20240718_152422494735,1033,562,74,74
Participant01,Video01,20240718_152422494767,846,576,63,63
Participant01,Video01,20240718_152422696886,1032,564,72,72
Participant01,Video01,20240718_152422696917,841,575,64,64
Participant01,Video01,20240718_152422896078,1032,561,73,73
Participant01,Video01,20240718_152422896109,839,573,64,64
Participant01,Video01,20240718_152422896118,886,587,52,52
Participant01,Video01,20240718_152423313770,1037,581,41,41
Participant01,Video01,20240718_152423478133,1036,579,45,45
Participant01,Video01,20240718_152423478163,1057,571,52,52
Participant01,Video01,20240718_152423646346,1037,577,44,44
Participant01,Video01,20240718_152423646380,1059,569,52,52
Participant01,Video01,20240718_152423824045,1036,570,59,59
Participant01,Video01,20240718_152423824081,846,580,53,53
Participant01,Video01,20240718_152424013557,1038,580,46,46
Participant01,Video01,20240718_152424013589,1065,573,52,52
Participant01,Video01,20240718_152424013599,840,579,51,51
Participant01,Video01,20240718_152424179862,879,588,42,42
Participant01,Video01,20240718_152424179889,1040,575,52,52
Participant01,Video01,20240718_152424179898,840,575,55,55
Participant01,Video01,20240718_152424350129,1039,564,71,71
Participant01,Video01,20240718_152424350180,847,574,62,62
Participant01,Video01,20240718_152424516368,1042,571,57,57
Participant01,Video01,20240718_152424516414,868,577,53,53
Participant01,Video01,20240718_152424516427,841,580,50,50
Participant01,Video01,20240718_152424679185,1046,566,58,58
Participant01,Video01,20240718_152424679213,841,577,50,50
Participant01,Video01,20240718_152424860823,1034,554,80,80
Participant01,Video01,20240718_152424860870,843,570,66,66
Participant01,Video01,20240718_152425068100,1036,561,73,73
Participant01,Video01,20240718_152425068131,840,570,66,66
Participant01,Video01,20240718_152425068141,884,582,54,54
Participant01,Video01,20240718_152425265607,1031,560,76,76
Participant01,Video01,20240718_152425265641,836,570,68,68
Participant01,Video01,20240718_152425447433,1034,565,65,65
Participant01,Video01,20240718_152425447464,841,578,53,53
