Participant ID,Video Name,Timestamp,Eye,X,Y,Width,Height
Participant01,Video01,20240802_090733496291,Left,896,628,83,83
Participant01,Video01,20240802_090733496291,Right,1113,602,134,134
Participant01,Video01,20240802_090735897404,Left,949,561,84,84
Participant01,Video01,20240802_090735897404,Right,1157,556,85,85
Participant01,Video01,20240802_090737765295,Left,1071,617,87,87
Participant01,Video01,20240802_090737765295,Right,1098,606,119,119
Participant01,Video01,20240802_090740199261,Left,899,602,91,91
Participant01,Video01,20240802_090740199261,Right,1085,526,48,48
Participant01,Video01,20240802_090746839124,Left,934,551,80,80
Participant01,Video01,20240802_090746839124,Right,977,486,38,38
Participant01,Video01,20240802_090753608240,Left,844,551,100,100
Participant01,Video01,20240802_090753608240,Right,1073,545,90,90
Participant01,Video01,20240802_090801045263,Left,823,641,93,93
Participant01,Video01,20240802_090801045263,Right,875,584,40,40
Participant01,Video01,20240802_090808387388,Left,795,644,89,89
Participant01,Video01,20240802_090808387388,Right,1039,628,109,109
Participant01,Video01,20240802_090808387388,Left,796,640,98,98
Participant01,Video01,20240802_090808387388,Right,1040,632,100,100
Participant01,Video01,20240802_090823088879,Left,825,506,120,120
Participant01,Video01,20240802_090823088879,Right,1048,554,48,48
Participant01,Video01,20240802_090830526897,Left,777,597,111,111
Participant01,Video01,20240802_090830526897,Right,962,627,69,69
