Participant ID,Video Name,Timestamp,X,Y,Width,Height
Participant01,Video01,20240718_152458236728,981,581,70,70
Participant01,Video01,20240718_152458236766,762,590,71,71
Participant01,Video01,20240718_152458236776,820,602,51,51
Participant01,Video01,20240718_152458483340,978,574,60,60
Participant01,Video01,20240718_152458483377,758,576,60,60
Participant01,Video01,20240718_152458683236,981,571,53,53
Participant01,Video01,20240718_152458683272,814,571,47,47
Participant01,Video01,20240718_152458683284,759,554,69,69
Participant01,Video01,20240718_152458889861,750,546,81,81
Participant01,Video01,20240718_152458889891,971,562,68,68
Participant01,Video01,20240718_152459087709,754,557,72,72
Participant01,Video01,20240718_152459087756,975,575,56,56
Participant01,Video01,20240718_152459290822,976,584,61,61
Participant01,Video01,20240718_152459290855,752,558,86,86
Participant01,Video01,20240718_152459489357,970,589,58,58
Participant01,Video01,20240718_152459489394,747,565,83,83
Participant01,Video01,20240718_152459692032,956,579,64,64
Participant01,Video01,20240718_152459692063,737,566,82,82
Participant01,Video01,20240718_152459885817,943,563,73,73
Participant01,Video01,20240718_152459885860,741,573,66,66
Participant01,Video01,20240718_152500091542,949,561,73,73
Participant01,Video01,20240718_152500091571,748,568,67,67
Participant01,Video01,20240718_152500284764,960,575,49,49
Participant01,Video01,20240718_152500284795,985,569,55,55
Participant01,Video01,20240718_152500486363,977,571,57,57
Participant01,Video01,20240718_152500486394,772,579,51,51
Participant01,Video01,20240718_152500698177,781,573,67,67
Participant01,Video01,20240718_152500698208,983,568,73,73
Participant01,Video01,20240718_152500884220,984,574,70,70
Participant01,Video01,20240718_152500884252,782,574,70,70
Participant01,Video01,20240718_152501103344,769,566,76,76
Participant01,Video01,20240718_152501103392,977,572,70,70
Participant01,Video01,20240718_152501285470,970,573,64,64
Participant01,Video01,20240718_152501285507,764,567,70,70
Participant01,Video01,20240718_152501450464,968,587,46,46
Participant01,Video01,20240718_152501450496,761,576,58,58
Participant01,Video01,20240718_152501450505,989,577,56,56
Participant01,Video01,20240718_152501620890,972,582,51,51
Participant01,Video01,20240718_152501620930,753,575,60,60
Participant01,Video01,20240718_152501818524,809,593,45,45
Participant01,Video01,20240718_152501818556,964,575,63,63
Participant01,Video01,20240718_152501818565,759,577,62,62
Participant01,Video01,20240718_152501987496,762,579,60,60
Participant01,Video01,20240718_152501987534,963,574,63,63
Participant01,Video01,20240718_152502157446,754,572,70,70
Participant01,Video01,20240718_152502157482,956,570,73,73
Participant01,Video01,20240718_152502354718,751,573,70,70
Participant01,Video01,20240718_152502354769,953,566,77,77
Participant01,Video01,20240718_152502558007,948,564,79,79
Participant01,Video01,20240718_152502558041,745,569,75,75
Participant01,Video01,20240718_152502756980,946,565,76,76
Participant01,Video01,20240718_152502757021,739,569,72,72
Participant01,Video01,20240718_152502757035,790,587,54,54
Participant01,Video01,20240718_152502954439,946,567,74,74
Participant01,Video01,20240718_152502954487,743,571,71,71
Participant01,Video01,20240718_152503117356,743,568,73,73
Participant01,Video01,20240718_152503117389,946,565,77,77
Participant01,Video01,20240718_152503117398,794,587,54,54
Participant01,Video01,20240718_152503288419,747,569,74,74
Participant01,Video01,20240718_152503288462,952,567,76,76
Participant01,Video01,20240718_152503492245,955,576,61,61
Participant01,Video01,20240718_152503492277,748,571,68,68
Participant01,Video01,20240718_152503492285,795,586,53,53
Participant01,Video01,20240718_152503690433,956,576,72,72
Participant01,Video01,20240718_152503690469,748,573,75,75
Participant01,Video01,20240718_152503900081,968,585,71,71
Participant01,Video01,20240718_152503900112,760,580,75,75
Participant01,Video01,20240718_152504087713,802,598,55,55
Participant01,Video01,20240718_152504087753,1006,605,48,48
Participant01,Video01,20240718_152504087769,1030,597,55,55
Participant01,Video01,20240718_152504268104,862,592,69,69
Participant01,Video01,20240718_152504268135,1061,583,76,76
Participant01,Video01,20240718_152504452207,1171,579,65,65
Participant01,Video01,20240718_152504614777,1259,561,80,80
Participant01,Video01,20240718_152504614805,1059,590,60,60
Participant01,Video01,20240718_152504614813,1094,602,48,48
Participant01,Video01,20240718_152504785368,1188,604,48,48
Participant01,Video01,20240718_152504785406,1143,594,58,58
Participant01,Video01,20240718_152504785417,1340,556,86,86
Participant01,Video01,20240718_152505281130,1514,672,51,51
Participant01,Video01,20240718_152505281160,1469,682,38,38
Participant01,Video01,20240718_152505615762,1551,677,41,41
Participant01,Video01,20240718_152505786026,1558,678,37,37
Participant01,Video01,20240718_152505786059,1549,665,59,59
Participant01,Video01,20240718_152506950512,1538,675,47,47
Participant01,Video01,20240718_152507450624,1475,725,43,43
Participant01,Video01,20240718_152507450655,1524,706,62,62
Participant01,Video01,20240718_152507626223,1538,594,102,102
Participant01,Video01,20240718_152507626263,1330,637,76,76
Participant01,Video01,20240718_152507826293,1542,609,112,112
Participant01,Video01,20240718_152507826334,1332,647,85,85
Participant01,Video01,20240718_152508026599,1334,653,81,81
Participant01,Video01,20240718_152508026643,1539,614,110,110
Participant01,Video01,20240718_152508228272,1530,612,113,113
Participant01,Video01,20240718_152508228309,1325,656,79,79
Participant01,Video01,20240718_152508430187,1518,610,114,114
Participant01,Video01,20240718_152508430219,1314,651,83,83
Participant01,Video01,20240718_152508625562,1509,610,110,110
Participant01,Video01,20240718_152508625595,1306,658,74,74
Participant01,Video01,20240718_152508792763,1499,607,112,112
Participant01,Video01,20240718_152508792794,1292,649,85,85
Participant01,Video01,20240718_152508961974,1478,604,112,112
Participant01,Video01,20240718_152508962007,1276,648,85,85
Participant01,Video01,20240718_152509325612,1380,607,113,113
Participant01,Video01,20240718_152509325655,1184,653,84,84
Participant01,Video01,20240718_152509492049,1325,611,103,103
Participant01,Video01,20240718_152509492086,1131,654,75,75
Participant01,Video01,20240718_152509654554,1068,655,67,67
Participant01,Video01,20240718_152509654590,1260,609,101,101
Participant01,Video01,20240718_152509823221,1192,607,100,100
Participant01,Video01,20240718_152509823269,1004,653,63,63
Participant01,Video01,20240718_152509991040,1137,611,92,92
Participant01,Video01,20240718_152509991083,943,647,67,67
Participant01,Video01,20240718_152510167407,1078,611,93,93
Participant01,Video01,20240718_152510167435,886,641,68,68
Participant01,Video01,20240718_152510370805,1028,614,86,86
Participant01,Video01,20240718_152510370836,828,630,75,75
Participant01,Video01,20240718_152510567538,780,625,79,79
Participant01,Video01,20240718_152510567576,985,621,79,79
Participant01,Video01,20240718_152510788858,948,624,74,74
Participant01,Video01,20240718_152510788896,740,626,75,75
Participant01,Video01,20240718_152510994377,901,625,81,81
Participant01,Video01,20240718_152510994433,965,662,47,47
Participant01,Video01,20240718_152510994449,695,624,82,82
Participant01,Video01,20240718_152511195578,857,621,87,87
Participant01,Video01,20240718_152511195611,653,618,87,87
Participant01,Video01,20240718_152511195619,926,660,49,49
Participant01,Video01,20240718_152511394588,608,615,86,86
Participant01,Video01,20240718_152511394632,883,659,48,48
Participant01,Video01,20240718_152511394647,815,624,81,81
Participant01,Video01,20240718_152511596233,766,626,77,77
Participant01,Video01,20240718_152511596267,556,612,88,88
Participant01,Video01,20240718_152511797807,484,612,89,89
Participant01,Video01,20240718_152511797836,710,632,72,72
Participant01,Video01,20240718_152511996708,641,639,69,69
Participant01,Video01,20240718_152511996742,405,620,86,86
Participant01,Video01,20240718_152512176402,340,627,92,92
Participant01,Video01,20240718_152512176506,587,644,73,73
Participant01,Video01,20240718_152512365144,523,650,81,81
Participant01,Video01,20240718_152512365176,276,640,96,96
Participant01,Video01,20240718_152512565380,230,660,84,84
Participant01,Video01,20240718_152512565413,472,655,85,85
Participant01,Video01,20240718_152512773227,431,655,93,93
Participant01,Video01,20240718_152512773260,187,665,92,92
Participant01,Video01,20240718_152512963913,409,662,84,84
Participant01,Video01,20240718_152512963943,144,670,84,84
Participant01,Video01,20240718_152513164824,377,658,97,97
Participant01,Video01,20240718_152513164856,127,676,90,90
Participant01,Video01,20240718_152513364541,369,658,97,97
Participant01,Video01,20240718_152513364571,191,706,55,55
Participant01,Video01,20240718_152513364582,120,678,92,92
Participant01,Video01,20240718_152513565724,375,662,93,93
Participant01,Video01,20240718_152513565754,199,711,49,49
Participant01,Video01,20240718_152513565765,124,684,83,83
Participant01,Video01,20240718_152513763947,391,666,88,88
Participant01,Video01,20240718_152513763981,149,690,81,81
Participant01,Video01,20240718_152513963771,442,649,90,90
Participant01,Video01,20240718_152513963803,200,662,89,89
Participant01,Video01,20240718_152514162923,564,641,69,69
Participant01,Video01,20240718_152514162965,332,639,77,77
Participant01,Video01,20240718_152514361686,668,628,67,67
Participant01,Video01,20240718_152514361735,457,618,79,79
Participant01,Video01,20240718_152514535949,542,619,74,74
Participant01,Video01,20240718_152514535983,746,634,61,61
Participant01,Video01,20240718_152514726905,612,617,69,69
Participant01,Video01,20240718_152514726939,800,632,57,57
Participant01,Video01,20240718_152514726948,664,639,38,38
Participant01,Video01,20240718_152514893099,843,631,58,58
Participant01,Video01,20240718_152514893137,656,617,68,68
Participant01,Video01,20240718_152515061556,874,632,55,55
Participant01,Video01,20240718_152515061594,685,615,69,69
Participant01,Video01,20240718_152515225357,900,635,53,53
Participant01,Video01,20240718_152515225388,716,619,68,68
Participant01,Video01,20240718_152515394677,741,623,68,68
Participant01,Video01,20240718_152515394720,923,639,59,59
Participant01,Video01,20240718_152515564661,938,646,54,54
Participant01,Video01,20240718_152515564693,754,627,69,69
Participant01,Video01,20240718_152515729346,943,647,57,57
Participant01,Video01,20240718_152515729412,757,627,71,71
Participant01,Video01,20240718_152515897806,760,629,70,70
Participant01,Video01,20240718_152515897841,943,648,56,56
Participant01,Video01,20240718_152516067708,943,645,56,56
Participant01,Video01,20240718_152516067742,760,631,66,66
Participant01,Video01,20240718_152516263932,762,633,65,65
Participant01,Video01,20240718_152516263969,948,641,61,61
Participant01,Video01,20240718_152516460883,764,630,67,67
Participant01,Video01,20240718_152516460924,951,640,62,62
Participant01,Video01,20240718_152516663011,946,635,68,68
Participant01,Video01,20240718_152516663045,762,629,69,69
Participant01,Video01,20240718_152516865208,939,635,68,68
Participant01,Video01,20240718_152516865238,755,629,69,69
Participant01,Video01,20240718_152517065052,934,635,69,69
Participant01,Video01,20240718_152517065090,746,624,75,75
Participant01,Video01,20240718_152517238040,747,631,62,62
Participant01,Video01,20240718_152517238071,939,642,53,53
Participant01,Video01,20240718_152517431429,744,631,64,64
Participant01,Video01,20240718_152517431473,929,639,57,57
Participant01,Video01,20240718_152517647973,927,629,68,68
Participant01,Video01,20240718_152517648004,737,623,71,71
Participant01,Video01,20240718_152517832495,799,631,44,44
