Participant ID,Video Name,Timestamp,X,Y,Width,Height
Participant01,Video01,20240718_163209702029,992,694,94,94
Participant01,Video01,20240718_163211231855,1031,714,73,73
Participant01,Video01,20240718_163212467652,1062,643,76,76
Participant01,Video01,20240718_163215102649,918,606,89,89
Participant01,Video01,20240718_163215102649,1176,594,92,92
Participant01,Video01,20240718_163215102649,979,626,63,63
Participant01,Video01,20240718_163218266933,1070,614,97,97
Participant01,Video01,20240718_163218266933,863,639,74,74
Participant01,Video01,20240718_163221409916,774,668,69,69
Participant01,Video01,20240718_163221409916,964,651,83,83
Participant01,Video01,20240718_163224509438,995,640,80,80
Participant01,Video01,20240718_163224509438,786,635,91,91
Participant01,Video01,20240718_163226979835,686,682,62,62
Participant01,Video01,20240718_163226979835,851,616,44,44
Participant01,Video01,20240718_163226979835,870,638,98,98
Participant01,Video01,20240718_163229449432,746,684,92,92
Participant01,Video01,20240718_163229449432,953,680,91,91
Participant01,Video01,20240718_163231974132,783,700,68,68
Participant01,Video01,20240718_163231974132,994,681,81,81
Participant01,Video01,20240718_163231974132,960,694,62,62
