Participant ID,Video Name,Timestamp,Eye,X,Y,Width,Height
Participant01,Video01,20240801_202215430104,Left,989,685,78,78
Participant01,Video01,20240801_202215430104,Right,1224,671,100,100
Participant01,Video01,20240801_202219999163,Left,980,636,66,66
Participant01,Video01,20240801_202219999163,Right,1197,613,83,83
Participant01,Video01,20240801_202226406783,Left,983,636,81,81
Participant01,Video01,20240801_202226406783,Right,1205,615,103,103
Participant01,Video01,20240801_202234478524,Left,1169,666,46,46
Participant01,Video01,20240801_202234478524,Right,1220,720,96,96
Participant01,Video01,20240801_202234478524,Left,1205,685,184,183
Participant01,Video01,20240801_202234478524,Right,1217,730,69,69
Participant01,Video01,20240801_202249578803,Left,1198,723,72,72
Participant01,Video01,20240801_202249578803,Right,1237,713,92,92
