Participant ID,Video Name,Timestamp,X,Y,Width,Height
Participant01,Video01,20240718_160639787821,805,633,101,101
Participant01,Video01,20240718_160639787821,1056,634,97,97
Participant01,Video01,20240718_160640889792,831,635,94,94
Participant01,Video01,20240718_160640889792,1086,635,93,93
Participant01,Video01,20240718_160640889792,1061,664,58,58
Participant01,Video01,20240718_160641888251,1111,652,68,68
Participant01,Video01,20240718_160641888251,852,645,81,81
Participant01,Video01,20240718_160642923916,1089,650,84,84
Participant01,Video01,20240718_160642923916,837,644,93,93
Participant01,Video01,20240718_160642923916,890,662,75,75
Participant01,Video01,20240718_160643962345,1093,654,85,85
Participant01,Video01,20240718_160643962345,1071,677,63,63
Participant01,Video01,20240718_160643962345,844,655,88,88
Participant01,Video01,20240718_160644991494,1098,652,78,78
Participant01,Video01,20240718_160644991494,846,648,87,87
Participant01,Video01,20240718_160645993078,1093,649,85,85
Participant01,Video01,20240718_160645993078,1073,673,56,56
Participant01,Video01,20240718_160646996358,1098,659,81,81
Participant01,Video01,20240718_160646996358,859,662,80,80
Participant01,Video01,20240718_160647991351,1077,635,84,84
Participant01,Video01,20240718_160647991351,838,629,91,91
Participant01,Video01,20240718_160648994463,1071,643,70,70
Participant01,Video01,20240718_160649994366,1062,642,78,78
Participant01,Video01,20240718_160649994366,1041,654,62,62
Participant01,Video01,20240718_160649994366,828,642,83,83
Participant01,Video01,20240718_160651065610,878,638,63,63
Participant01,Video01,20240718_160651065610,1067,616,83,83
Participant01,Video01,20240718_160651065610,822,616,86,86
Participant01,Video01,20240718_160653563307,923,636,52,52
Participant01,Video01,20240718_160653563307,859,621,75,75
Participant01,Video01,20240718_160653563307,1103,606,86,86
Participant01,Video01,20240718_160656664042,1042,668,89,89
Participant01,Video01,20240718_160659101854,809,692,77,77
Participant01,Video01,20240718_160659101854,1041,653,109,109
