Participant ID,Video Name,Timestamp,X,Y,Width,Height
Participant01,Video01,20240718_141612308177,991,671,98,98
Participant01,Video01,20240718_141612308220,783,710,65,65
Participant01,Video01,20240718_141612308229,832,722,54,54
Participant01,Video01,20240718_141612495800,986,675,92,92
Participant01,Video01,20240718_141612495829,832,722,48,48
Participant01,Video01,20240718_141612495838,778,709,63,63
Participant01,Video01,20240718_141612667422,994,673,87,87
Participant01,Video01,20240718_141612667459,783,692,78,78
Participant01,Video01,20240718_141612833626,997,667,89,89
Participant01,Video01,20240718_141612833659,782,684,82,82
Participant01,Video01,20240718_141613001449,790,682,85,85
Participant01,Video01,20240718_141613001479,1008,668,90,90
Participant01,Video01,20240718_141613168570,791,682,85,85
Participant01,Video01,20240718_141613168602,1010,668,91,91
Participant01,Video01,20240718_141613334416,1018,671,88,88
Participant01,Video01,20240718_141613334451,802,686,81,81
Participant01,Video01,20240718_141613500554,1023,674,85,85
Participant01,Video01,20240718_141613500585,802,682,85,85
Participant01,Video01,20240718_141613670252,1027,676,83,83
Participant01,Video01,20240718_141613670282,795,693,73,73
Participant01,Video01,20240718_141613840059,1023,676,86,86
Participant01,Video01,20240718_141613840089,794,689,82,82
Participant01,Video01,20240718_141614001682,1027,678,82,82
Participant01,Video01,20240718_141614001714,800,689,80,80
Participant01,Video01,20240718_141614172400,1025,678,85,85
Participant01,Video01,20240718_141614172438,791,683,90,90
Participant01,Video01,20240718_141614337978,1021,682,88,88
Participant01,Video01,20240718_141614338011,800,703,74,74
Participant01,Video01,20240718_141614506081,1017,687,85,85
Participant01,Video01,20240718_141614506110,801,703,78,78
Participant01,Video01,20240718_141614671535,797,702,87,87
Participant01,Video01,20240718_141614671564,1010,688,91,91
Participant01,Video01,20240718_141614839703,1014,690,88,88
Participant01,Video01,20240718_141614839733,799,699,89,89
Participant01,Video01,20240718_141615008969,1022,678,90,90
Participant01,Video01,20240718_141615009001,800,687,91,91
Participant01,Video01,20240718_141615175556,1026,678,88,88
Participant01,Video01,20240718_141615175583,799,693,80,80
Participant01,Video01,20240718_141615340202,1021,678,91,91
Participant01,Video01,20240718_141615340240,794,689,87,87
Participant01,Video01,20240718_141615506557,1025,679,88,88
Participant01,Video01,20240718_141615506586,807,698,75,75
Participant01,Video01,20240718_141615678441,1027,680,85,85
Participant01,Video01,20240718_141615678472,803,695,79,79
Participant01,Video01,20240718_141615842395,1003,714,51,51
Participant01,Video01,20240718_141616000565,1034,684,79,79
Participant01,Video01,20240718_141616000593,812,697,77,77
Participant01,Video01,20240718_141616171900,1032,683,81,81
Participant01,Video01,20240718_141616171923,818,701,69,69
Participant01,Video01,20240718_141616338341,824,708,61,61
Participant01,Video01,20240718_141616338366,1037,682,85,85
Participant01,Video01,20240718_141616513840,1034,683,87,87
Participant01,Video01,20240718_141616513885,816,702,71,71
Participant01,Video01,20240718_141616513896,865,714,57,57
Participant01,Video01,20240718_141616672795,811,686,89,89
Participant01,Video01,20240718_141616672823,1037,681,88,88
Participant01,Video01,20240718_141616850387,1048,682,79,79
Participant01,Video01,20240718_141616850432,821,687,81,81
Participant01,Video01,20240718_141617009632,1065,670,81,81
Participant01,Video01,20240718_141617009667,851,669,84,84
Participant01,Video01,20240718_141617181511,916,652,80,80
Participant01,Video01,20240718_141617181543,1119,667,72,72
Participant01,Video01,20240718_141617332244,965,642,79,79
Participant01,Video01,20240718_141617332278,1167,674,54,54
Participant01,Video01,20240718_141617511158,1162,611,48,48
Participant01,Video01,20240718_141617511188,993,635,80,80
Participant01,Video01,20240718_141617978068,1000,634,74,74
Participant01,Video01,20240718_141619537709,959,628,71,71
Participant01,Video01,20240718_141619703982,952,627,72,72
Participant01,Video01,20240718_141619704024,1145,654,51,51
Participant01,Video01,20240718_141619876256,1139,651,60,60
Participant01,Video01,20240718_141619876290,947,622,82,82
Participant01,Video01,20240718_141620042929,947,624,78,78
Participant01,Video01,20240718_141620042958,1145,654,54,54
Participant01,Video01,20240718_141620209726,945,626,77,77
Participant01,Video01,20240718_141620209794,1153,657,52,52
Participant01,Video01,20240718_141620209810,1130,649,58,58
Participant01,Video01,20240718_141620380749,951,629,73,73
Participant01,Video01,20240718_141620380778,1145,653,52,52
Participant01,Video01,20240718_141620538930,945,624,81,81
Participant01,Video01,20240718_141620538965,1149,655,52,52
Participant01,Video01,20240718_141620709742,932,619,84,84
Participant01,Video01,20240718_141620709775,1121,658,42,42
Participant01,Video01,20240718_141620709784,1137,650,58,58
Participant01,Video01,20240718_141620878223,912,623,79,79
Participant01,Video01,20240718_141620878255,1113,640,66,66
Participant01,Video01,20240718_141621041799,890,624,76,76
Participant01,Video01,20240718_141621041830,1090,632,75,75
Participant01,Video01,20240718_141621208662,866,624,75,75
Participant01,Video01,20240718_141621208692,1071,626,77,77
Participant01,Video01,20240718_141621374105,1057,626,70,70
Participant01,Video01,20240718_141621374135,852,623,73,73
Participant01,Video01,20240718_141621532861,847,618,64,64
Participant01,Video01,20240718_141621532891,1052,616,66,66
Participant01,Video01,20240718_141621710411,1045,608,72,72
Participant01,Video01,20240718_141621710442,842,613,68,68
Participant01,Video01,20240718_141621872973,1038,605,76,76
Participant01,Video01,20240718_141621873006,840,613,71,71
Participant01,Video01,20240718_141622043497,1040,615,70,70
Participant01,Video01,20240718_141622043519,842,626,65,65
Participant01,Video01,20240718_141622218111,1038,617,70,70
Participant01,Video01,20240718_141622218147,841,627,65,65
Participant01,Video01,20240718_141622404437,1039,615,71,71
Participant01,Video01,20240718_141622404468,838,626,67,67
Participant01,Video01,20240718_141622575644,1037,617,71,71
Participant01,Video01,20240718_141622575674,837,631,64,64
Participant01,Video01,20240718_141622747516,1039,620,72,72
Participant01,Video01,20240718_141622747549,835,631,71,71
Participant01,Video01,20240718_141622912361,1038,623,73,73
Participant01,Video01,20240718_141622912398,839,634,69,69
Participant01,Video01,20240718_141623068087,1038,625,70,70
Participant01,Video01,20240718_141623068125,839,635,67,67
Participant01,Video01,20240718_141623203722,1043,616,79,79
Participant01,Video01,20240718_141623203746,832,621,82,82
Participant01,Video01,20240718_141623378696,1041,615,83,83
Participant01,Video01,20240718_141623378726,835,622,81,81
Participant01,Video01,20240718_141623538032,843,619,81,81
Participant01,Video01,20240718_141623538065,1048,616,79,79
Participant01,Video01,20240718_141623712546,870,620,74,74
Participant01,Video01,20240718_141623712574,1076,628,65,65
Participant01,Video01,20240718_141623871719,916,610,72,72
Participant01,Video01,20240718_141623871747,1115,635,57,57
Participant01,Video01,20240718_141624973957,848,617,70,70
Participant01,Video01,20240718_141624973987,1051,616,71,71
Participant01,Video01,20240718_141625103861,816,635,58,58
Participant01,Video01,20240718_141625103889,1012,615,71,71
Participant01,Video01,20240718_141625103898,1060,622,53,53
Participant01,Video01,20240718_141625234935,1026,626,48,48
Participant01,Video01,20240718_141625234958,785,644,58,58
Participant01,Video01,20240718_141625234967,969,603,86,86
Participant01,Video01,20240718_141625369836,937,596,98,98
Participant01,Video01,20240718_141625369868,759,642,65,65
Participant01,Video01,20240718_141625710630,915,595,90,90
Participant01,Video01,20240718_141625876370,906,585,109,109
Participant01,Video01,20240718_141626303725,916,589,106,106
Participant01,Video01,20240718_141626436947,924,597,103,103
Participant01,Video01,20240718_141626610967,949,644,86,86
Participant01,Video01,20240718_141626611101,747,694,47,47
Participant01,Video01,20240718_141626611118,771,682,57,57
Participant01,Video01,20240718_141626782328,775,695,71,71
Participant01,Video01,20240718_141626782358,983,674,83,83
Participant01,Video01,20240718_141626943680,1021,712,68,68
Participant01,Video01,20240718_141626943700,804,723,62,62
Participant01,Video01,20240718_141627113094,1028,747,49,49
Participant01,Video01,20240718_141627113122,1045,726,79,79
Participant01,Video01,20240718_141627113131,822,745,61,61
Participant01,Video01,20240718_141627277258,1029,757,58,58
Participant01,Video01,20240718_141627277286,1054,744,73,73
Participant01,Video01,20240718_141627277295,833,756,60,60
Participant01,Video01,20240718_141627446676,1054,745,74,74
Participant01,Video01,20240718_141627613236,1037,761,56,56
Participant01,Video01,20240718_141627613268,1060,748,70,70
Participant01,Video01,20240718_141627954787,1101,752,62,62
Participant01,Video01,20240718_141628110758,907,740,60,60
Participant01,Video01,20240718_141628110789,1128,730,71,71
Participant01,Video01,20240718_141628284270,922,735,71,71
Participant01,Video01,20240718_141628284302,1119,716,90,90
Participant01,Video01,20240718_141628444137,976,755,53,53
Participant01,Video01,20240718_141628444165,1117,714,91,91
Participant01,Video01,20240718_141628444175,910,730,73,73
Participant01,Video01,20240718_141628614217,911,732,70,70
Participant01,Video01,20240718_141628614252,1122,714,88,88
Participant01,Video01,20240718_141628779952,960,747,58,58
Participant01,Video01,20240718_141628779977,1122,718,83,83
Participant01,Video01,20240718_141628779986,898,731,71,71
Participant01,Video01,20240718_141628937085,1091,707,91,91
Participant01,Video01,20240718_141628937116,860,730,68,68
Participant01,Video01,20240718_141629076164,1052,695,96,96
Participant01,Video01,20240718_141629076191,827,712,82,82
Participant01,Video01,20240718_141629251418,1031,687,93,93
Participant01,Video01,20240718_141629251450,802,700,85,85
Participant01,Video01,20240718_141629410013,1026,690,87,87
Participant01,Video01,20240718_141629410044,795,701,80,80
Participant01,Video01,20240718_141629583977,1025,690,89,89
Participant01,Video01,20240718_141629584008,792,700,85,85
Participant01,Video01,20240718_141629738251,791,699,85,85
Participant01,Video01,20240718_141629738290,1026,691,87,87
Participant01,Video01,20240718_141629920437,1029,693,86,86
Participant01,Video01,20240718_141629920460,795,707,77,77
Participant01,Video01,20240718_141630077441,796,703,83,83
Participant01,Video01,20240718_141630077473,1030,692,92,92
Participant01,Video01,20240718_141630246157,1033,692,90,90
Participant01,Video01,20240718_141630246183,800,711,76,76
Participant01,Video01,20240718_141630407529,1033,693,89,89
Participant01,Video01,20240718_141630407559,801,710,76,76
Participant01,Video01,20240718_141630580763,1041,705,75,75
Participant01,Video01,20240718_141630751148,1051,738,61,61
Participant01,Video01,20240718_141630910736,1041,728,74,74
Participant01,Video01,20240718_141631083476,1046,741,71,71
Participant01,Video01,20240718_141631239673,1030,757,56,56
Participant01,Video01,20240718_141631239707,1058,751,65,65
Participant01,Video01,20240718_141631543944,1058,756,64,64
Participant01,Video01,20240718_141632045573,1057,759,63,62
Participant01,Video01,20240718_141632212765,1026,765,53,53
Participant01,Video01,20240718_141632212794,1052,755,66,66
Participant01,Video01,20240718_141632547915,1030,779,43,43
Participant01,Video01,20240718_141632870147,1027,771,44,44
Participant01,Video01,20240718_141633007756,1046,755,63,63
Participant01,Video01,20240718_141633178967,1033,708,98,98
Participant01,Video01,20240718_141633350022,1036,707,100,100
Participant01,Video01,20240718_141633516866,1042,712,93,93
Participant01,Video01,20240718_141633516897,1016,734,74,74
