Participant ID,Video Name,Timestamp,X,Y,Width,Height
Participant01,Video01,20240718_154450465761,1083,683,95,95
Participant01,Video01,20240718_154450465835,875,727,58,58
Participant01,Video01,20240718_154451575209,1118,673,84,84
Participant01,Video01,20240718_154451575268,891,688,74,74
Participant01,Video01,20240718_154452641896,1136,669,85,85
Participant01,Video01,20240718_154452641948,900,676,83,83
Participant01,Video01,20240718_154453762066,1126,671,90,90
Participant01,Video01,20240718_154453762118,898,691,77,77
Participant01,Video01,20240718_154454847204,1162,713,77,77
Participant01,Video01,20240718_154454847256,1139,734,54,54
Participant01,Video01,20240718_154457012634,1123,690,110,110
Participant01,Video01,20240718_154457012687,878,737,69,69
Participant01,Video01,20240718_154458068049,1133,669,94,94
Participant01,Video01,20240718_154459115266,1113,641,103,103
Participant01,Video01,20240718_154459115314,888,675,78,78
Participant01,Video01,20240718_154500235412,1131,685,79,79
Participant01,Video01,20240718_154501426018,1129,662,88,88
Participant01,Video01,20240718_154501426104,925,707,53,53
Participant01,Video01,20240718_154501426114,949,711,47,47
Participant01,Video01,20240718_154501426124,881,685,77,77
Participant01,Video01,20240718_154504791672,805,532,63,63
Participant01,Video01,20240718_154504791805,1120,674,81,81
Participant01,Video01,20240718_154504791822,1169,679,66,66
Participant01,Video01,20240718_154504791834,904,701,60,60
Participant01,Video01,20240718_154508309098,1135,674,78,78
Participant01,Video01,20240718_154508309161,892,695,62,62
Participant01,Video01,20240718_154508309175,1097,679,78,78
Participant01,Video01,20240718_154512086531,1118,645,88,88
Participant01,Video01,20240718_154512086591,894,666,78,78
Participant01,Video01,20240718_154512086601,1091,665,67,67
Participant01,Video01,20240718_154524205731,856,702,42,42
Participant01,Video01,20240718_154524205784,902,745,91,91
Participant01,Video01,20240718_154524205801,719,785,60,60
