Participant ID,Video Name,Timestamp,X,Y,Width,Height
Participant01,Video01,20240718_155337156831,999,702,71,71
Participant01,Video01,20240718_155338224225,971,672,98,98
Participant01,Video01,20240718_155338224225,742,697,79,79
Participant01,Video01,20240718_155339322163,1034,640,85,85
Participant01,Video01,20240718_155339322163,796,652,85,85
Participant01,Video01,20240718_155341762981,791,678,67,67
Participant01,Video01,20240718_155341762981,1006,643,98,98
Participant01,Video01,20240718_155344596381,1106,660,78,78
Participant01,Video01,20240718_155344596381,889,656,86,86
Participant01,Video01,20240718_155344596381,938,669,68,68
Participant01,Video01,20240718_155347196980,769,598,46,46
Participant01,Video01,20240718_155347196980,809,642,80,80
Participant01,Video01,20240718_155349765119,875,646,82,82
Participant01,Video01,20240718_155349765119,1081,660,72,72
Participant01,Video01,20240718_155352370806,832,666,71,71
Participant01,Video01,20240718_155352370806,1055,665,75,75
Participant01,Video01,20240718_155352370806,1032,637,107,106
Participant01,Video01,20240718_155354600972,1073,664,78,78
Participant01,Video01,20240718_155354600972,843,668,77,77
Participant01,Video01,20240718_155356833924,1067,648,83,83
Participant01,Video01,20240718_155356833924,1034,676,57,57
Participant01,Video01,20240718_155356833924,832,656,79,79
Participant01,Video01,20240718_155359068977,841,665,80,80
Participant01,Video01,20240718_155359068977,1064,652,94,94
Participant01,Video01,20240718_155359068977,888,680,63,63
Participant01,Video01,20240718_155401308704,1032,648,97,97
Participant01,Video01,20240718_155401308704,802,678,67,67
Participant01,Video01,20240718_155404569430,1040,719,71,71
Participant01,Video01,20240718_155404569430,1004,678,120,118
