Participant ID,Video Name,Timestamp,X,Y,Width,Height
Participant01,Video01,20240718_141719370012,1063,646,101,101
Participant01,Video01,20240718_141719370056,839,690,63,63
Participant01,Video01,20240718_141719560209,1064,649,100,100
Participant01,Video01,20240718_141719560242,840,687,67,67
Participant01,Video01,20240718_141719728913,1073,649,92,92
Participant01,Video01,20240718_141719728980,848,677,73,73
Participant01,Video01,20240718_141719896266,1076,648,93,93
Participant01,Video01,20240718_141719896300,845,665,86,86
Participant01,Video01,20240718_141720064786,1091,651,89,89
Participant01,Video01,20240718_141720064848,860,668,81,81
Participant01,Video01,20240718_141720229979,1099,656,82,82
Participant01,Video01,20240718_141720230009,869,669,78,78
Participant01,Video01,20240718_141720396469,1105,645,87,87
Participant01,Video01,20240718_141720396502,878,656,82,82
Participant01,Video01,20240718_141720396511,1068,663,75,75
Participant01,Video01,20240718_141720560237,887,652,82,82
Participant01,Video01,20240718_141720560274,1103,647,81,81
Participant01,Video01,20240718_141720728502,884,649,84,84
Participant01,Video01,20240718_141720728532,1095,643,86,86
Participant01,Video01,20240718_141720891738,1083,643,84,84
Participant01,Video01,20240718_141720891773,870,648,86,86
Participant01,Video01,20240718_141721061388,1072,641,84,84
Participant01,Video01,20240718_141721061419,861,645,88,88
Participant01,Video01,20240718_141721227399,1037,669,57,57
Participant01,Video01,20240718_141721397869,1037,654,74,74
Participant01,Video01,20240718_141721397897,1017,668,54,54
Participant01,Video01,20240718_141721397906,825,678,57,57
Participant01,Video01,20240718_141721562943,1018,659,80,80
Participant01,Video01,20240718_141721562971,806,673,70,70
Participant01,Video01,20240718_141721730457,849,711,43,43
Participant01,Video01,20240718_141721730494,999,674,84,84
Participant01,Video01,20240718_141721730503,788,694,68,68
Participant01,Video01,20240718_141721901127,781,699,67,67
Participant01,Video01,20240718_141721901158,991,667,94,94
Participant01,Video01,20240718_141722084186,994,665,94,94
Participant01,Video01,20240718_141722084267,786,693,73,73
Participant01,Video01,20240718_141722269947,1019,666,92,92
Participant01,Video01,20240718_141722270000,798,693,70,70
Participant01,Video01,20240718_141722270009,996,687,72,72
Participant01,Video01,20240718_141722431535,863,713,51,51
Participant01,Video01,20240718_141722431582,806,702,65,65
Participant01,Video01,20240718_141722431594,1020,671,94,94
Participant01,Video01,20240718_141722600234,1025,678,93,93
Participant01,Video01,20240718_141722600294,808,701,74,74
Participant01,Video01,20240718_141722600307,1004,698,73,73
Participant01,Video01,20240718_141722762947,1032,686,87,87
Participant01,Video01,20240718_141722762979,814,707,66,66
Participant01,Video01,20240718_141722929163,826,712,68,68
Participant01,Video01,20240718_141722929194,1037,691,87,87
Participant01,Video01,20240718_141723094900,1050,700,80,80
Participant01,Video01,20240718_141723094933,819,721,59,59
Participant01,Video01,20240718_141723273790,890,736,45,45
Participant01,Video01,20240718_141723273830,1034,720,57,57
Participant01,Video01,20240718_141723273840,1053,697,86,86
Participant01,Video01,20240718_141723273848,830,721,61,61
Participant01,Video01,20240718_141723428391,1058,693,88,88
Participant01,Video01,20240718_141723428419,885,725,52,52
Participant01,Video01,20240718_141723428428,830,708,75,75
Participant01,Video01,20240718_141723600423,829,708,78,78
Participant01,Video01,20240718_141723600462,1030,712,69,69
Participant01,Video01,20240718_141723600474,1056,689,93,93
Participant01,Video01,20240718_141723763781,892,733,47,47
Participant01,Video01,20240718_141723763812,832,719,63,63
Participant01,Video01,20240718_141723763822,1055,691,90,90
Participant01,Video01,20240718_141723763830,1035,658,47,47
Participant01,Video01,20240718_141723929944,1037,660,42,42
Participant01,Video01,20240718_141723929981,885,738,47,47
Participant01,Video01,20240718_141723929992,824,720,66,66
Participant01,Video01,20240718_141723930002,1046,691,95,95
Participant01,Video01,20240718_141724098440,1051,699,84,84
Participant01,Video01,20240718_141724098479,812,720,62,62
Participant01,Video01,20240718_141724266636,1052,699,86,86
Participant01,Video01,20240718_141724266671,825,723,61,61
Participant01,Video01,20240718_141724433175,880,735,51,51
Participant01,Video01,20240718_141724433213,1054,702,86,86
Participant01,Video01,20240718_141724433223,1030,723,62,62
Participant01,Video01,20240718_141724433231,820,724,62,62
Participant01,Video01,20240718_141724596353,1058,700,85,85
Participant01,Video01,20240718_141724596390,827,726,59,59
Participant01,Video01,20240718_141724775744,836,723,63,63
Participant01,Video01,20240718_141724775777,1065,697,87,87
Participant01,Video01,20240718_141724928716,893,739,49,49
Participant01,Video01,20240718_141724928745,839,726,64,64
Participant01,Video01,20240718_141724928756,1060,692,99,99
Participant01,Video01,20240718_141725103375,844,724,68,68
Participant01,Video01,20240718_141725103410,1064,698,93,93
Participant01,Video01,20240718_141725264241,1050,724,69,69
Participant01,Video01,20240718_141725264270,1075,704,89,89
Participant01,Video01,20240718_141725264280,847,726,69,69
Participant01,Video01,20240718_141725426715,916,749,44,44
Participant01,Video01,20240718_141725426772,851,729,66,66
Participant01,Video01,20240718_141725426788,1068,698,97,97
Participant01,Video01,20240718_141725608558,922,752,39,39
Participant01,Video01,20240718_141725608605,1077,713,81,81
Participant01,Video01,20240718_141725608615,844,732,61,61
Participant01,Video01,20240718_141725767150,919,753,41,41
Participant01,Video01,20240718_141725767182,1074,706,91,91
Participant01,Video01,20240718_141725767191,847,727,72,72
Participant01,Video01,20240718_141725939208,920,758,37,37
Participant01,Video01,20240718_141725939237,846,728,71,71
Participant01,Video01,20240718_141725939248,1070,706,91,91
Participant01,Video01,20240718_141726101653,918,755,41,41
Participant01,Video01,20240718_141726101684,1067,706,93,93
Participant01,Video01,20240718_141726101693,831,741,51,51
Participant01,Video01,20240718_141726101700,852,738,60,60
Participant01,Video01,20240718_141726263671,913,755,43,43
Participant01,Video01,20240718_141726263706,1074,719,82,82
Participant01,Video01,20240718_141726263716,841,734,65,65
Participant01,Video01,20240718_141726604871,844,740,59,59
Participant01,Video01,20240718_141726604901,1079,714,85,85
Participant01,Video01,20240718_141726761675,915,756,43,43
Participant01,Video01,20240718_141726761706,1058,742,54,54
Participant01,Video01,20240718_141726761715,844,741,60,60
Participant01,Video01,20240718_141726761724,1082,717,84,84
Participant01,Video01,20240718_141726929879,918,761,37,37
Participant01,Video01,20240718_141726929923,1074,708,92,92
Participant01,Video01,20240718_141726929933,833,741,56,56
Participant01,Video01,20240718_141727102861,915,760,40,40
Participant01,Video01,20240718_141727102891,849,740,57,57
Participant01,Video01,20240718_141727102901,1074,718,83,83
Participant01,Video01,20240718_141727266227,921,763,35,35
Participant01,Video01,20240718_141727266260,1081,726,74,74
Participant01,Video01,20240718_141727266269,846,744,56,56
Participant01,Video01,20240718_141727435508,920,764,36,36
Participant01,Video01,20240718_141727435548,1082,720,84,83
Participant01,Video01,20240718_141727435558,847,743,58,58
Participant01,Video01,20240718_141727770642,1091,728,76,76
Participant01,Video01,20240718_141727937664,916,762,38,38
Participant01,Video01,20240718_141727937694,850,742,60,60
Participant01,Video01,20240718_141727937705,1084,719,83,83
Participant01,Video01,20240718_141728102125,1086,716,82,82
Participant01,Video01,20240718_141728102152,1116,721,76,76
Participant01,Video01,20240718_141728272206,847,745,54,54
Participant01,Video01,20240718_141728429346,830,746,52,52
Participant01,Video01,20240718_141728429377,852,743,55,55
Participant01,Video01,20240718_141728600378,1087,716,86,86
Participant01,Video01,20240718_141728600408,848,740,63,63
Participant01,Video01,20240718_141728769717,1074,710,95,95
Participant01,Video01,20240718_141728769762,839,739,66,66
Participant01,Video01,20240718_141728930816,1077,713,92,92
Participant01,Video01,20240718_141728930847,1056,748,54,54
Participant01,Video01,20240718_141728930856,841,741,65,65
Participant01,Video01,20240718_141729099775,917,767,39,39
Participant01,Video01,20240718_141729099806,1071,721,85,85
Participant01,Video01,20240718_141729099816,837,741,68,68
Participant01,Video01,20240718_141729269283,909,764,44,44
Participant01,Video01,20240718_141729269314,845,742,69,69
