Participant ID,Video Name,Timestamp,X,Y,Width,Height
Participant01,Video01,20240718_154957851440,1117,733,44,44
Participant01,Video01,20240718_154957851440,1145,707,80,80
Participant01,Video01,20240718_154958949561,1145,724,76,76
Participant01,Video01,20240718_154958949561,895,718,85,85
Participant01,Video01,20240718_155001150629,1168,687,91,91
Participant01,Video01,20240718_155001150629,884,680,104,104
Participant01,Video01,20240718_155002252672,1132,695,56,56
Participant01,Video01,20240718_155002252672,1189,680,66,66
Participant01,Video01,20240718_155005653791,1147,662,93,93
Participant01,Video01,20240718_155005653791,966,707,46,46
Participant01,Video01,20240718_155005653791,897,693,63,63
Participant01,Video01,20240718_155009589957,863,665,75,75
Participant01,Video01,20240718_155009589957,1073,645,95,95
Participant01,Video01,20240718_155017526262,794,686,59,59
Participant01,Video01,20240718_155017526262,1019,641,103,103
