Eye detected at: X: 893, Y: 491, W: 88, H: 88
Eye detected at: X: 1107, Y: 478, W: 98, H: 98
Face detected at: X: 744, Y: 282, W: 608, H: 608
Eye detected at: X: 895, Y: 497, W: 83, H: 83
Eye detected at: X: 1107, Y: 478, W: 100, H: 100
Face detected at: X: 738, Y: 284, W: 606, H: 606
Eye detected at: X: 889, Y: 491, W: 93, H: 93
Eye detected at: X: 1106, Y: 480, W: 100, H: 100
Face detected at: X: 737, Y: 286, W: 610, H: 610
Eye detected at: X: 893, Y: 499, W: 86, H: 86
Eye detected at: X: 1099, Y: 469, W: 114, H: 114
Face detected at: X: 733, Y: 284, W: 617, H: 617
Eye detected at: X: 1087, Y: 458, W: 133, H: 133
Eye detected at: X: 1105, Y: 509, W: 76, H: 76
Face detected at: X: 727, Y: 283, W: 625, H: 625
Eye detected at: X: 1089, Y: 492, W: 98, H: 98
Face detected at: X: 731, Y: 288, W: 620, H: 620
Eye detected at: X: 1093, Y: 499, W: 93, H: 93
Face detected at: X: 727, Y: 289, W: 615, H: 615
Eye detected at: X: 1091, Y: 516, W: 76, H: 76
Eye detected at: X: 1078, Y: 465, W: 129, H: 129
Face detected at: X: 717, Y: 282, W: 623, H: 623
Eye detected at: X: 1079, Y: 474, W: 118, H: 118
Face detected at: X: 726, Y: 287, W: 604, H: 604
Eye detected at: X: 1088, Y: 480, W: 101, H: 101
Eye detected at: X: 878, Y: 504, W: 83, H: 83
Face detected at: X: 727, Y: 289, W: 601, H: 601
Eye detected at: X: 1088, Y: 477, W: 105, H: 105
Eye detected at: X: 872, Y: 496, W: 91, H: 91
Eye detected at: X: 1085, Y: 451, W: 57, H: 57
Face detected at: X: 737, Y: 289, W: 592, H: 592
Eye detected at: X: 1098, Y: 474, W: 97, H: 97
Eye detected at: X: 885, Y: 495, W: 87, H: 87
Face detected at: X: 742, Y: 285, W: 599, H: 599
Eye detected at: X: 1100, Y: 469, W: 104, H: 104
Eye detected at: X: 883, Y: 486, W: 94, H: 94
Face detected at: X: 753, Y: 286, W: 600, H: 600
Eye detected at: X: 1116, Y: 471, W: 106, H: 106
Eye detected at: X: 892, Y: 478, W: 104, H: 104
Face detected at: X: 762, Y: 281, W: 610, H: 610
Eye detected at: X: 1133, Y: 479, W: 99, H: 99
Eye detected at: X: 909, Y: 488, W: 95, H: 95
Face detected at: X: 768, Y: 286, W: 611, H: 611
Eye detected at: X: 1138, Y: 480, W: 103, H: 103
Eye detected at: X: 915, Y: 489, W: 99, H: 99
Face detected at: X: 770, Y: 283, W: 611, H: 611
Eye detected at: X: 1142, Y: 482, W: 98, H: 98
Eye detected at: X: 924, Y: 486, W: 99, H: 99
Face detected at: X: 775, Y: 283, W: 615, H: 615
Eye detected at: X: 1146, Y: 476, W: 105, H: 105
Eye detected at: X: 931, Y: 491, W: 94, H: 94
Face detected at: X: 778, Y: 282, W: 614, H: 614
Eye detected at: X: 1153, Y: 483, W: 98, H: 98
Eye detected at: X: 929, Y: 490, W: 96, H: 96
Face detected at: X: 775, Y: 282, W: 619, H: 619
Eye detected at: X: 1150, Y: 480, W: 105, H: 105
Eye detected at: X: 930, Y: 489, W: 99, H: 99
Face detected at: X: 774, Y: 279, W: 623, H: 623
Eye detected at: X: 1157, Y: 483, W: 100, H: 100
Eye detected at: X: 929, Y: 490, W: 99, H: 99
Face detected at: X: 768, Y: 275, W: 630, H: 630
Eye detected at: X: 1159, Y: 483, W: 101, H: 101
Eye detected at: X: 932, Y: 488, W: 100, H: 100
Face detected at: X: 770, Y: 277, W: 631, H: 631
Eye detected at: X: 1152, Y: 484, W: 103, H: 103
Eye detected at: X: 933, Y: 502, W: 88, H: 88
Face detected at: X: 767, Y: 277, W: 636, H: 636
Eye detected at: X: 1150, Y: 486, W: 104, H: 104
Eye detected at: X: 931, Y: 495, W: 97, H: 97
Face detected at: X: 769, Y: 280, W: 634, H: 634
Eye detected at: X: 1150, Y: 449, W: 60, H: 60
Eye detected at: X: 931, Y: 502, W: 91, H: 91
Eye detected at: X: 1151, Y: 484, W: 107, H: 107
Face detected at: X: 766, Y: 280, W: 640, H: 640
Eye detected at: X: 1147, Y: 484, W: 109, H: 109
Eye detected at: X: 926, Y: 501, W: 95, H: 95
Face detected at: X: 768, Y: 286, W: 635, H: 635
Eye detected at: X: 1143, Y: 485, W: 110, H: 110
Eye detected at: X: 926, Y: 503, W: 93, H: 93
Face detected at: X: 763, Y: 288, W: 632, H: 632
Eye detected at: X: 1142, Y: 494, W: 101, H: 101
Eye detected at: X: 925, Y: 508, W: 90, H: 90
Face detected at: X: 763, Y: 291, W: 629, H: 629
Eye detected at: X: 1135, Y: 485, W: 112, H: 112
Eye detected at: X: 1133, Y: 455, W: 62, H: 62
Eye detected at: X: 918, Y: 503, W: 95, H: 95
Face detected at: X: 754, Y: 293, W: 628, H: 628
Eye detected at: X: 1126, Y: 489, W: 108, H: 108
Eye detected at: X: 911, Y: 508, W: 93, H: 93
Eye detected at: X: 1126, Y: 458, W: 62, H: 62
Face detected at: X: 746, Y: 291, W: 634, H: 634
Eye detected at: X: 1123, Y: 459, W: 59, H: 59
Eye detected at: X: 1125, Y: 489, W: 110, H: 110
Eye detected at: X: 912, Y: 514, W: 86, H: 86
Face detected at: X: 750, Y: 293, W: 629, H: 629
Eye detected at: X: 1125, Y: 492, W: 106, H: 106
Eye detected at: X: 908, Y: 515, W: 88, H: 88
Face detected at: X: 744, Y: 295, W: 632, H: 632
Eye detected at: X: 1120, Y: 496, W: 105, H: 105
Eye detected at: X: 901, Y: 518, W: 89, H: 89
Eye detected at: X: 1122, Y: 464, W: 58, H: 58
Face detected at: X: 747, Y: 300, W: 624, H: 624
Eye detected at: X: 900, Y: 521, W: 84, H: 84
Eye detected at: X: 1118, Y: 499, W: 100, H: 100
Face detected at: X: 741, Y: 303, W: 623, H: 623
Eye detected at: X: 1110, Y: 514, W: 87, H: 87
Face detected at: X: 740, Y: 303, W: 621, H: 621
Eye detected at: X: 1109, Y: 510, W: 94, H: 94
Eye detected at: X: 905, Y: 547, W: 64, H: 64
Eye detected at: X: 1117, Y: 471, W: 55, H: 55
Face detected at: X: 742, Y: 302, W: 619, H: 619
Eye detected at: X: 1102, Y: 498, W: 107, H: 107
Eye detected at: X: 1111, Y: 465, W: 61, H: 61
Face detected at: X: 748, Y: 297, W: 615, H: 615
Eye detected at: X: 1107, Y: 487, W: 109, H: 109
Eye detected at: X: 1110, Y: 461, W: 60, H: 60
Eye detected at: X: 899, Y: 517, W: 84, H: 84
