Participant ID,Video Name,Timestamp,Eye,X,Y,Width,Height
Participant01,Video01,20240801_202401708313,Left,946,753,62,62
Participant01,Video01,20240801_202401708313,Right,982,755,60,60
Participant01,Video01,20240801_202405077184,Left,1011,738,72,72
Participant01,Video01,20240801_202405077184,Right,1251,719,96,96
Participant01,Video01,20240801_202411947364,Left,967,657,65,65
Participant01,Video01,20240801_202411947364,Right,1176,640,78,78
Participant01,Video01,20240801_202418351885,Left,975,668,77,77
Participant01,Video01,20240801_202418351885,Right,1197,651,94,94
Participant01,Video01,20240801_202424827624,Left,971,677,83,83
Participant01,Video01,20240801_202424827624,Right,1193,659,97,97
Participant01,Video01,20240801_202431563552,Left,532,779,44,44
Participant01,Video01,20240801_202431563552,Right,782,760,93,93
