Participant ID,Video Name,Timestamp,X,Y,Width,Height
Participant01,Video01,20240721_131912082396,856,504,99,99
Participant01,Video01,20240721_131912082431,1095,475,119,119
Participant01,Video01,20240721_131912330822,1094,478,116,116
Participant01,Video01,20240721_131912330889,848,491,115,115
Participant01,Video01,20240721_131912518515,1099,477,118,118
Participant01,Video01,20240721_131912518561,856,501,102,102
Participant01,Video01,20240721_131912684596,1103,471,115,115
Participant01,Video01,20240721_131912684640,863,492,104,104
Participant01,Video01,20240721_131912889790,1114,462,113,113
Participant01,Video01,20240721_131912889824,876,482,102,102
Participant01,Video01,20240721_131913050365,1103,491,70,70
Participant01,Video01,20240721_131913050397,1075,416,154,154
Participant01,Video01,20240721_131913227584,1104,410,63,63
Participant01,Video01,20240721_131913227621,1114,447,105,105
Participant01,Video01,20240721_131913227634,888,469,90,90
Participant01,Video01,20240721_131913422921,1101,451,102,102
Participant01,Video01,20240721_131913422948,874,467,93,93
Participant01,Video01,20240721_131913422959,1092,415,56,56
Participant01,Video01,20240721_131913584224,1079,478,96,96
Participant01,Video01,20240721_131913584267,867,493,87,87
Participant01,Video01,20240721_131913755337,1069,539,78,78
Participant01,Video01,20240721_131913755367,874,549,73,73
Participant01,Video01,20240721_131913912032,1049,604,71,71
Participant01,Video01,20240721_131913912065,873,606,71,71
Participant01,Video01,20240721_131914080360,874,656,70,70
Participant01,Video01,20240721_131914080392,1036,649,74,74
Participant01,Video01,20240721_131914247792,1029,683,67,67
Participant01,Video01,20240721_131914247820,876,689,64,64
Participant01,Video01,20240721_131914418249,1023,685,70,70
Participant01,Video01,20240721_131914418274,871,695,63,63
Participant01,Video01,20240721_131914585746,1026,680,74,74
Participant01,Video01,20240721_131914585776,876,693,65,65
Participant01,Video01,20240721_131914751696,1040,661,75,75
Participant01,Video01,20240721_131914751728,881,670,70,70
Participant01,Video01,20240721_131914911460,1059,626,74,74
Participant01,Video01,20240721_131914911485,887,639,64,64
Participant01,Video01,20240721_131915083793,1075,572,81,81
Participant01,Video01,20240721_131915083822,881,576,80,80
Participant01,Video01,20240721_131915247439,1079,483,48,48
Participant01,Video01,20240721_131915247469,1088,516,89,89
Participant01,Video01,20240721_131915247485,879,524,84,84
Participant01,Video01,20240721_131915422465,1084,476,104,104
Participant01,Video01,20240721_131915422500,867,493,91,91
Participant01,Video01,20240721_131915422510,1080,446,57,57
Participant01,Video01,20240721_131915586095,1086,467,108,108
Participant01,Video01,20240721_131915586128,857,486,97,97
Participant01,Video01,20240721_131915586137,1078,433,61,61
Participant01,Video01,20240721_131915753888,1092,463,108,108
Participant01,Video01,20240721_131915753941,861,481,98,98
Participant01,Video01,20240721_131916083970,1084,470,109,109
Participant01,Video01,20240721_131916084082,849,487,101,101
Participant01,Video01,20240721_131916251989,1074,475,114,114
Participant01,Video01,20240721_131916252031,845,500,95,95
Participant01,Video01,20240721_131916420763,1067,484,112,112
Participant01,Video01,20240721_131916420801,848,514,89,89
Participant01,Video01,20240721_131916633822,1064,494,111,111
Participant01,Video01,20240721_131916633879,844,518,94,94
Participant01,Video01,20240721_131916815842,1061,493,112,112
Participant01,Video01,20240721_131916815879,838,525,85,85
Participant01,Video01,20240721_131916992061,1062,496,110,110
Participant01,Video01,20240721_131916992092,841,528,84,84
Participant01,Video01,20240721_131916992102,1053,463,64,64
Participant01,Video01,20240721_131917187791,1069,493,109,109
Participant01,Video01,20240721_131917187834,852,510,101,101
Participant01,Video01,20240721_131917349778,1081,497,105,105
Participant01,Video01,20240721_131917349809,850,513,100,100
Participant01,Video01,20240721_131917515902,1090,504,105,105
Participant01,Video01,20240721_131917515933,871,522,94,94
Participant01,Video01,20240721_131917680005,1105,511,106,106
Participant01,Video01,20240721_131917680038,883,528,94,94
Participant01,Video01,20240721_131917855040,1118,521,94,94
Participant01,Video01,20240721_131917855069,898,537,86,86
Participant01,Video01,20240721_131918018999,1137,526,98,98
Participant01,Video01,20240721_131918019030,913,540,87,87
Participant01,Video01,20240721_131918184771,1142,520,106,106
Participant01,Video01,20240721_131918354580,1152,511,109,109
Participant01,Video01,20240721_131918520208,1154,504,114,114
Participant01,Video01,20240721_131918520238,938,543,75,75
Participant01,Video01,20240721_131918685555,1156,510,112,112
Participant01,Video01,20240721_131918855821,1157,522,98,98
Participant01,Video01,20240721_131919020213,1149,511,114,114
Participant01,Video01,20240721_131919187542,1141,515,106,106
Participant01,Video01,20240721_131919356307,1146,518,97,97
